SECUCODE,SECURITY_NAME_ABBR,STD_ITEM_CODE,STD_ITEM_NAME,2024-12-31 00:00:00,2023-12-31 00:00:00,2022-12-31 00:00:00,2021-12-31 00:00:00,2020-12-31 00:00:00,2019-12-31 00:00:00,2018-12-31 00:00:00,2017-12-31 00:00:00,2016-12-31 00:00:00,2015-12-31 00:00:00,2014-12-31 00:00:00,2013-12-31 00:00:00,2012-12-31 00:00:00,2011-12-31 00:00:00,2010-12-31 00:00:00,2009-12-31 00:00:00,2007-12-31 00:00:00,2006-12-31 00:00:00,2005-12-31 00:00:00,2004-12-31 00:00:00,2003-12-31 00:00:00,2002-12-31 00:00:00,2001-12-31 00:00:00,2000-12-31 00:00:00
00001.HK,长和,004002999,流动资产合计,177978405720.0,183406240920.0,200338129250.0,191718206400.0,199953464640.0,194233768960.0,297769560400.0,195223436860.0,199917617940.0,161669757720.0,86874308750.0,92150087150.0,84608143250.0,74589264200.0,79882755610.0,69761310880.0,65383669880.0,57927262860.0,39742580900.0,35249954300.0,26420834400.0,26167787100.0,27254238200.0,25506369400.0
00001.HK,长和,004009999,总资产,1030258393680.0,1050221076660.0,1025864318990.0,992178857600.0,1055918177440.0,1084768081280.0,1079692192800.0,919714157050.0,906554577150.0,865379824320.0,361255916670.0,337164514510.0,329792966250.0,302541890200.0,281616134430.0,261469982240.0,259023308360.0,250967570670.0,224940948100.0,218735013200.0,209644504000.0,211010346000.0,208418506000.0,200193553000.0
00001.HK,长和,004011001,应付帐款,76532575800.0,78314626180.0,79616261830.0,78951544000.0,87430404840.0,89002909240.0,101877526400.0,75422487480.0,74331991980.0,79462595220.0,9184024540.0,9198104770.0,10776196500.0,7864600700.0,15570317140.0,10634437440.0,6450721820.0,3012000660.0,2513364800.0,2832633100.0,2355197000.0,3352014900.0,1615293800.0,1659839000.0
00001.HK,长和,004011003,应付税项,3118902720.0,3775312520.0,3573973270.0,1963875200.0,2221087960.0,1674212820.0,1814610200.0,2464262680.0,2087786340.0,2042507640.0,1069707720.0,,,,,,,,,,,,,
00001.HK,长和,004011006,融资租赁负债(流动),11243977680.0,12339091520.0,10833578560.0,13151096000.0,15672178440.0,16194806620.0,,,,,,,,,,,,,,,,,,
00001.HK,长和,004011010,短期贷款,30401893200.0,52854375280.0,62645025100.0,54256753600.0,40416394440.0,35826721100.0,22768933200.0,18149277920.0,64297378800.0,27660144480.0,14477342240.0,1916828740.0,4133713300.0,18562597900.0,12872018110.0,8109220800.0,8307563360.0,6904092240.0,4061331200.0,3338954300.0,1689134500.0,2777959800.0,5995571800.0,7689350000.0
00001.HK,长和,004011012,拨备(流动),,,,,,,,,,,,913599260.0,535971850.0,1302794900.0,538638690.0,905133440.0,805286800.0,1270907550.0,586729200.0,588226100.0,598923400.0,557077500.0,574845200.0,721208000.0
00001.HK,长和,004011016,衍生金融工具-负债(流动),,,,,,,,,,,,131300410.0,924369000.0,669638200.0,550551710.0,405020800.0,409198060.0,458129520.0,200777900.0,,,,,
00001.HK,长和,004011017,持作出售的负债(流动),,,1006715290.0,,239025760.0,,67993120000.0,,,,,,,,,,,,,,,,,
00001.HK,长和,004011999,流动负债合计,121297349400.0,147283405500.0,157675554050.0,148323268800.0,145979091440.0,142698649780.0,194454189800.0,96036028080.0,140717157120.0,109165247340.0,24731074500.0,12159833180.0,16370250650.0,28399631700.0,29531525650.0,20053812480.0,15972770040.0,11645129970.0,7362203100.0,6759813500.0,4643254900.0,6687052200.0,8185710800.0,10070397000.0
00001.HK,长和,004013999,净流动资产,56681056320.0,36122835420.0,42662575200.0,43394937600.0,53974373200.0,51535119180.0,103315370600.0,99187408780.0,59200460820.0,52504510380.0,62143234250.0,79990253970.0,68237892600.0,46189632500.0,50351229960.0,49707498400.0,49410899840.0,46282132890.0,32380377800.0,28490140800.0,21777579500.0,19480734900.0,19068527400.0,15435972400.0
00001.HK,长和,004015999,总资产减流动负债,908961044280.0,902937671160.0,868188764940.0,843855588800.0,909939086000.0,942069431500.0,885238003000.0,823678128970.0,765837420030.0,756214576980.0,336524842170.0,325004681330.0,313422715600.0,274142258500.0,252084608780.0,241416169760.0,243050538320.0,239322440700.0,217578745000.0,211975199700.0,205001249100.0,204323293800.0,200232795200.0,190123156000.0
00001.HK,长和,004016999,总资产减总负债合计,,,,,,,,,,,,,,,,217387870560.0,,,,,,,,
00001.HK,长和,004020001,长期贷款,210241639320.0,196507463460.0,193627885010.0,212737067200.0,254047350720.0,273475363540.0,285923336400.0,261990076290.0,210695568930.0,230693614140.0,15400320140.0,31018345960.0,34867360850.0,18662314000.0,18743435110.0,22257653920.0,25895588900.0,31756614030.0,19435924900.0,19047675900.0,17431654900.0,20431480500.0,19862916800.0,14642643600.0
00001.HK,长和,004020003,递延税项负债,16644642960.0,17736537840.0,17231178300.0,14212340800.0,14873462080.0,15066123820.0,16876488200.0,21385085530.0,21192730920.0,21834222360.0,806225140.0,775222780.0,664897000.0,689095000.0,647557730.0,1770645280.0,1217294000.0,924296400.0,565923200.0,455263600.0,402834600.0,288619200.0,3181800.0,12727200.0
00001.HK,长和,004020005,融资租赁负债(非流动),48503197080.0,49214089540.0,48174944370.0,56409494400.0,63665016160.0,67729030020.0,,,,,,,,,,,,,,,,,,
00001.HK,长和,004020013,衍生金融工具-负债,,,,,,,,,,,,88057760.0,51083550.0,,,,,,,,,,,
00001.HK,长和,004020016,职工薪酬及福利(非流动),2960549880.0,3204393920.0,2438627100.0,2833801600.0,3201598560.0,2797520940.0,2140556600.0,3151380700.0,4802624190.0,3406413480.0,,,,,,,,,,,,,,
00001.HK,长和,004020997,非流动负债其他项目,26284719360.0,28610271620.0,28494419730.0,30919996800.0,43865435160.0,48253877040.0,62618509200.0,42671533680.0,42363099090.0,40246113420.0,,,,,,,,,,,,,,
00001.HK,长和,004020999,非流动负债合计,304634748600.0,295272756380.0,289967054510.0,317112700800.0,379652862680.0,407321915360.0,367558890400.0,329198076200.0,279054023130.0,296180363400.0,16206545280.0,31881626500.0,35583341400.0,19351409000.0,19390992840.0,24028299200.0,27112882900.0,32680910430.0,20001848100.0,19502939500.0,17834489500.0,20720099700.0,19866098600.0,14655370800.0
00001.HK,长和,004025999,总负债,425932098000.0,442556161880.0,447642608560.0,465435969600.0,525631954120.0,550020565140.0,562013080200.0,425234104280.0,419771180250.0,405345610740.0,40937619780.0,44041459680.0,51953592050.0,47751040700.0,48922518490.0,44082111680.0,43085652940.0,44326040400.0,27364051200.0,26262753000.0,22477744400.0,27407151900.0,28051809400.0,24725767800.0
00001.HK,长和,004027999,少数股东权益,109158817080.0,110511716560.0,106509048450.0,97040126400.0,103817977280.0,107733669040.0,115961565200.0,110348479100.0,106903784610.0,100971758940.0,2253801590.0,2431023160.0,2559853450.0,2603968400.0,3251403530.0,3350226400.0,3189310280.0,5283559530.0,4952868300.0,5472736500.0,4375764200.0,4756911300.0,4969971600.0,3497858800.0
00001.HK,长和,004028999,净资产,604326295680.0,607664914780.0,578221710430.0,526742888000.0,530286223320.0,534747516140.0,517679112600.0,494480052770.0,486783396900.0,460034213580.0,320318296890.0,293123054830.0,277839374200.0,254790849500.0,232693615940.0,217387870560.0,215937655420.0,206641530270.0,197576896900.0,192472260200.0,182790995400.0,178846282800.0,175396725000.0,171969926400.0
