证券代码,证券简称,报告日期,报告类型,报告日期名称,货币单位,存放同业和其他金融机构款项其他,客户存款净增加额,同业和其他金融机构存放款项增加,向中央银行借款增加,中央银行存放款项减少,存放中央银行款项减少,同业和其他金融机构存放款项减少,回购借款增加,拆入资金增加,卖出回购金融资产增加,拆出资金返售协议减少,拆出资金减少,买入返售金融资产减少,同业存单净变动,交易性金融负债增加,交易性金融资产减少,收取利息和手续费净增加,收取利息现金,收取手续费现金,处置抵押资产收到的现金,收回已核销贷款,收到其他与经营活动有关的现金,经营活动现金流入其他项目,经营活动现金流入差额,经营活动现金流入总额,发放贷款及垫款增加,向中央银行借款减少,中央银行存放款项增加,存放中央银行款项增加,同业和其他金融机构存放款项增加,同业往来其他减少,发行同业存单减少,拆出资金返售协议增加,拆出资金返售增加,买入返售金融资产增加,回购借款减少,拆入资金减少,卖出回购金融资产减少,交易性金融资产增加,交易性金融负债减少,支付利息和手续费,支付利息现金,支付手续费现金,支付给职工的现金,支付的各项税费,应收账款增加,支付其他与经营活动有关的现金,经营活动现金流出其他项目,经营活动现金流出差额,经营活动现金流出总额,经营活动现金流量净额其他项目,经营活动现金流量净额差额,经营活动产生的现金流量净额,收回投资收到的现金,取得投资收益收到的现金,取得股利、利润收到的现金,处置长期资产收到的现金,处置子公司及合营企业收到的现金,收到其他与投资活动有关的现金,投资活动现金流入其他项目,投资活动现金流入差额,投资活动现金流入总额,投资支付的现金,购建长期资产支付的现金,取得子公司及其他营业单位支付的现金,支付其他与投资活动有关的现金,投资活动现金流出其他项目,投资活动现金流出差额,投资活动现金流出总额,投资活动现金流量净额其他项目,投资活动现金流量净额差额,投资活动产生的现金流量净额,发行债券收到的现金,发行次级债券收到的现金,发行其他债券收到的现金,吸收投资收到的现金,子公司吸收投资收到的现金,发行同业存单收到的现金,取得新增股权收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入其他项目,筹资活动现金流入差额,筹资活动现金流入总额,偿还债务支付的现金,支付债券利息,发行股票支付的费用,分配股利、利润支付的现金,支付其他与筹资活动有关的现金,筹资活动现金流出其他项目,筹资活动现金流出差额,筹资活动现金流出总额,筹资活动现金流量净额其他项目,筹资活动现金流量净额差额,筹资活动产生的现金流量净额,汇率变动对现金的影响,现金及现金等价物其他增加,现金及现金等价物增加差额,现金及现金等价物净增加额,期初现金及现金等价物余额,期末现金及现金等价物差额,期末现金及现金等价物余额,净利润,资产减值准备,转回投资减值准备,其他资产减值准备,预计负债计提,固定资产折旧和无形资产摊销,固定资产折旧,无形资产和其他长期资产摊销,无形资产摊销,长期待摊费用摊销,处置长期资产损失,公允价值变动损失,收回已核销款项,投资损失,债券利息支出,递延所得税,递延所得税资产减少,递延所得税负债增加,贷款增加,经营性应收项目减少,经营性应付项目增加,其他调整项目,间接法下经营活动现金流量其他项目,间接法下经营活动现金流量差额,间接法下经营活动现金流量净额,不涉及现金收支的投资和筹资活动其他,期末现金余额,期初现金余额,期末现金等价物余额,期初现金等价物余额,间接法下现金净增加额差额,间接法下现金净增加额,信用减值损失转回
000001.SZ,平安银行,2003-12-31 00:00:00,年报,2003年报,CNY,294.55,,,,,,,-93.03,,,,,,,,,30.61,,,,,2.9,,,235.03,203.35,,27.88,,,,,,,,,,,,,,,,8.07,3.86,,8.55,,,251.72,,,-16.69,402.27,7.2,,0.1,,,,,409.57,428.27,4.86,,,,,433.13,,,-23.57,,,,,,,,,,,,,,,2.68,,,,2.68,,,-2.68,-0.0,,,-42.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000001.SZ,平安银行,2003-09-30 00:00:00,三季报,2003三季报,CNY,,,,,,,,,,,,,,,,,,,,,,11.29,,,439.8,,,,,,,,,,,,,,,,,,,6.24,4.17,,8.61,,,513.32,,,-73.52,39.22,,,0.07,,,,,44.79,55.08,2.16,,,,,57.24,,,-12.44,,,,,,,,,,,,,,,1.95,,,,1.95,,,-1.95,0.02,,,-87.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000001.SZ,平安银行,2003-06-30 00:00:00,中报,2003中报,CNY,,,,,,,,,,,,,,,,,,,,,,18.58,,,215.29,,,,,,,,,,,,,,,,,,,4.61,3.42,,5.13,,,254.08,,,-38.78,39.22,,,0.07,,,,,43.21,62.5,1.2,,,,,63.7,,,-20.49,,,,,,,,,,,,,,,0.01,,,,0.01,,,-0.01,0.0,,,-59.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000001.SZ,平安银行,2003-03-31 00:00:00,一季报,2003一季报,CNY,,,,,,,,,,,,,,,,,,,,,,13.17,,,-22.81,,,,,,,,,,,,,,,,,,,2.09,1.58,,5.54,,,66.34,,,-89.15,28.25,,,0.01,,,,,29.63,36.04,1.05,,,,,37.08,,,-7.45,,,,,,,,,,,,,,,0.0,,,,0.0,,,-0.0,-0.0,,,-96.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000001.SZ,平安银行,2002-12-31 00:00:00,年报,2002年报,CNY,264.21,,,,,,,246.24,,,,,,,,,29.72,,,,,2.26,,,542.44,426.78,,12.32,,,,,,,,,,,,,,,,7.59,4.89,,5.41,,,457.0,,,85.44,108.21,5.55,,0.29,,,,,114.05,176.3,5.95,,,,,182.25,,,-68.2,,,,,,,,,,,,,,,2.76,,,,2.76,,,-2.76,-0.0,,,14.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000001.SZ,平安银行,2002-06-30 00:00:00,中报,2002中报,CNY,,,,,,,,,,,,,,,,,,,,,,7.17,,,230.1,,,,,,,,,,,,,,,,,,,3.27,2.0,,4.19,,,333.85,,,-103.75,24.06,,,0.16,,,,,27.43,63.81,2.65,,,,,66.47,,,-39.04,,,,,,,,,,,,,,,,,,,,,,,0.0,,,-142.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000001.SZ,平安银行,2001-12-31 00:00:00,年报,2001年报,CNY,398.34,,4432088901.0,,,,,66.64,84.06,,,,,,,,22.28,37.45,0.8,,,0.09,394.3,0.0,487.35,322.83,,5.21,,520556979.0,,,17.42,17.42,,,,,,,15.96,15.79,0.17,4.95,2.98,,4.96,363.11,0.0,340.93,,0.0,146.42,24.86,4.42,0.27,0.06,,,4.15,0.0,29.34,80.88,7.0,,,,0.0,87.88,,0.0,-58.53,,,,,,,,,,,,,,,0.01,,,0.0,0.01,,0.0,-0.01,-0.0,,0.0,87.87,,-87.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000001.SZ,平安银行,2001-06-30 00:00:00,中报,2001中报,CNY,,,,,,,,,,,,,,,,,,,,,,4.39,,,649.88,,,,,,,,,,,,,,,,,,,1.88,1.57,,4.78,,,637.57,,,12.3,15.75,,,0.0,,,,,18.15,17.93,6.04,,,,,23.97,,,-5.82,,,,,,,,,,,,,,,0.01,,,,0.01,,,-0.01,-0.0,,,6.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000001.SZ,平安银行,2000-12-31 00:00:00,年报,2000年报,CNY,185.01,,,,,,,-26.76,,,,,,,,,13.84,,,,,0.5,,,172.58,112.54,,33.11,,,,,,,,,,,,,,,,3.61,2.34,,5.07,,,156.67,,,15.91,13.89,2.67,,0.03,,,,,16.59,41.83,5.77,,,,,47.59,,,-31.0,,,,31.52,,,,,,,31.52,,,,2.64,,0.61,,3.25,,,28.27,-0.0,,,13.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000001.SZ,平安银行,2000-06-30 00:00:00,中报,2000中报,CNY,,,,,,,,,,,,,,,,,,,,,,0.23,,,200.12,,,,,,,,,,,,,,,,,,,1.84,1.11,,1.21,,,198.34,,,1.77,1.84,,,0.02,,,,,3.08,17.55,2.85,,,,,20.4,,,-17.32,,,,,,,,,,,0.8,0.75,,,1.33,,,,1.33,,,-1.33,-0.0,,,-16.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000001.SZ,平安银行,1999-12-31 00:00:00,年报,1999年报,CNY,65.8,,,,,,,0.86,,,,,,,,,8.98,,,,,0.72,10.02,,331.19,26.49,,,,,,,,,,,,,,,,,,1.92,2.66,,6.56,5.08,,285.19,,,46.0,7.24,0.58,,0.0,,,,,7.82,18.78,3.45,,,,,22.23,,,-14.4,,,,,,,,,,,,0.6,,,5.24,,,,5.24,,,-5.24,0.0,,,26.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000001.SZ,平安银行,1999-06-30 00:00:00,中报,1999中报,CNY,,,,,,,,,,,,,,,,,,,,,,0.84,,,114.06,,,,,,,,,,,,,,,,,,,1.72,1.56,,2.04,,,128.97,,,-14.91,0.51,,,,,0.0,,,0.51,3.95,1.16,,,,,5.11,,,-4.6,,,,,,,,,,,,0.25,,,0.01,,,,0.26,,,-0.26,-0.0,,,-19.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000001.SZ,平安银行,1998-12-31 00:00:00,年报,1998年报,CNY,61.33,,,-10.69,,,,4.96,,,,,,,,,13.67,,,,,0.62,12.71,,313.57,48.34,,,,,,,,,,,,,,,,,,2.77,3.5,,0.59,4.49,,289.12,,,24.45,6.13,0.02,,-0.0,,0.0,,,6.15,23.64,3.19,,,,,26.82,,,-20.67,,,,,,,,,0.56,,0.56,1.59,,,0.05,,,,1.64,,,-1.08,0.0,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000001.SZ,平安银行,1998-06-30 00:00:00,中报,1998中报,CNY,26.18,25.26,91541643.69,13.36,,,,,,,,,,,,,9.58,9.49,0.09,,,1.92,5.77,0.0,56.81,29.82,,,,,,,,,,,,,,,4.91,4.91,,1.58,0.7,,1.06,2.93,0.0,40.99,,0.0,15.82,0.01,0.01,0.01,0.0,,0.0,,0.0,0.02,11.99,1.68,,,,0.0,13.67,,0.0,-13.65,,,,,,,,,0.37,0.0,0.37,,,,0.0,,,0.0,0.0,,0.0,0.37,0.0,,0.0,2.54,,-2.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
