SECUCODE,SECURITY_NAME_ABBR,STD_ITEM_CODE,STD_ITEM_NAME,2024-12-31 00:00:00,2023-12-31 00:00:00,2022-12-31 00:00:00,2021-12-31 00:00:00,2020-12-31 00:00:00,2019-12-31 00:00:00,2018-12-31 00:00:00,2017-12-31 00:00:00,2016-12-31 00:00:00,2015-12-31 00:00:00,2014-12-31 00:00:00,2013-12-31 00:00:00,2012-12-31 00:00:00,2011-12-31 00:00:00,2010-12-31 00:00:00,2009-12-31 00:00:00,2007-12-31 00:00:00,2006-12-31 00:00:00,2005-12-31 00:00:00,2004-12-31 00:00:00,2003-12-31 00:00:00,2002-12-31 00:00:00,2001-12-31 00:00:00,2000-12-31 00:00:00
00001.HK,长和,002999,经营产生现金,66811007880.0,61125445220.0,61918796590.0,54659012800.0,73717564320.0,80364006920.0,62191799800.0,56708970310.0,47588826510.0,44197921680.0,30947370100.0,4365148960.0,1324118050.0,17835400.0,11713051450.0,14096484800.0,900797560.0,-17009063100.0,1526120100.0,-7875634800.0,5708954900.0,2253776400.0,708480800.0,
00001.HK,长和,003001,已收利息(经营),,,,,,,,,,,,650212210.0,676248900.0,182407500.0,131894150.0,200749440.0,381106660.0,507358350.0,441087200.0,325492200.0,318644300.0,417012300.0,974691400.0,
00001.HK,长和,003002,已付利息(经营),12285772680.0,10949856260.0,8084986770.0,8647755200.0,9080453960.0,13097199380.0,9341168200.0,7836656250.0,8496950490.0,5058515640.0,258749360.0,,,,,,,,,,3949484200.0,3932436600.0,3930583600.0,
00001.HK,长和,003003,已付税项,4307938080.0,3562350820.0,3172895040.0,3345619200.0,3053469920.0,5216126940.0,4016500800.0,4070881700.0,3009131640.0,1817144820.0,859079430.0,672226650.0,1800087000.0,701255500.0,1170879680.0,627782240.0,1144256360.0,136635120.0,130037500.0,175510500.0,34102400.0,67910400.0,277877200.0,
00001.HK,长和,003004,已收股息(经营),,,,,,,,,,,,3584422570.0,4934833100.0,5585723000.0,4393351590.0,4736101920.0,4494624000.0,3857932800.0,4454564600.0,4058015500.0,3997440700.0,4085235000.0,3985734800.0,
00001.HK,长和,003997,经营业务其他项目,,,,,,,,,,,,-2348469010.0,-7745239200.0,-9929453600.0,-7691556270.0,-6291029600.0,-2493579940.0,-1549201140.0,110271800.0,1754041300.0,5014118500.0,4373854200.0,1448779600.0,
00001.HK,长和,003999,经营业务现金净额,50217297120.0,46613238140.0,50660914780.0,42665638400.0,61583640440.0,62050680600.0,48834130800.0,44801432360.0,36082744380.0,37322261220.0,29829541310.0,5579088080.0,-2610126150.0,-4844743200.0,7375861240.0,12114524320.0,677002740.0,-15821543160.0,2803608500.0,-4545190100.0,9026479000.0,5342638500.0,-459239800.0,-12727200.0
00001.HK,长和,005002,已收股息(投资),,,,,,,,,,,,156459770.0,,1903523600.0,3764514320.0,,,,,,,,,
00001.HK,长和,005004,处置固定资产,135201840.0,152244960.0,299245450.0,358108800.0,474684960.0,134367000.0,80610400.0,1864915210.0,351542430.0,394594380.0,,,,,,,,,,,1613469800.0,4244400.0,3181800.0,194089800.0
00001.HK,长和,005005,购建固定资产,18858804600.0,19637787400.0,21335753950.0,22120985600.0,22811810560.0,28835158200.0,24130548000.0,19661439110.0,17931347460.0,18845023320.0,6206040290.0,127369260.0,85139250.0,1020671300.0,122533920.0,626021280.0,472871900.0,576680580.0,2148219500.0,697787200.0,671391000.0,693959400.0,310755800.0,1866656000.0
00001.HK,长和,005006,处置无形资产及其他资产,,,,,,,,,,,,4266870210.0,,,,1516186560.0,,,2069156700.0,25528800.0,1665689100.0,256786200.0,378634200.0,
