SECUCODE,SECURITY_NAME_ABBR,STD_ITEM_CODE,STD_ITEM_NAME,2024-12-31 00:00:00,2023-12-31 00:00:00,2022-12-31 00:00:00,2021-12-31 00:00:00,2020-12-31 00:00:00,2019-12-31 00:00:00,2018-12-31 00:00:00,2017-12-31 00:00:00,2016-12-31 00:00:00,2015-12-31 00:00:00,2014-12-31 00:00:00,2013-12-31 00:00:00,2012-12-31 00:00:00,2011-12-31 00:00:00,2010-12-31 00:00:00,2009-12-31 00:00:00,2007-12-31 00:00:00,2006-12-31 00:00:00,2005-12-31 00:00:00,2004-12-31 00:00:00,2003-12-31 00:00:00,2002-12-31 00:00:00,2001-12-31 00:00:00,2000-12-31 00:00:00
00001.HK,长和,004012001,税项,4368130680.0,2721378660.0,7390915980.0,1823248000.0,3620735280.0,5392595600.0,2293891600.0,2353922560.0,4070915010.0,2425373100.0,-240605350.0,1196642060.0,1000588900.0,1486013100.0,886669060.0,1447509120.0,1120846860.0,1218664710.0,269437700.0,244651000.0,-258965100.0,1388979900.0,1267417000.0,1291810800.0
00001.HK,长和,004012002,持续经营业务税后利润,22088832120.0,27375999980.0,38999274930.0,33089907200.0,31474811080.0,,,,,37168947480.0,15331688450.0,28282265560.0,26278026800.0,37502171300.0,23110407870.0,17644819200.0,26192421360.0,18364362930.0,14777461500.0,11458176400.0,9282247000.0,9258097500.0,7652229000.0,20478064800.0
00001.HK,长和,004012003,终止或非持续业务溢利,,,,,,,,,,67453018920.0,27746924510.0,,,,,,,,,,,,,
00001.HK,长和,004012999,除税后溢利,22088832120.0,27375999980.0,38999274930.0,33089907200.0,31474811080.0,42797681060.0,40813396000.0,36447347820.0,37490703120.0,104621966400.0,43078612960.0,28282265560.0,26278026800.0,37502171300.0,23110407870.0,17644819200.0,26192421360.0,18364362930.0,14777461500.0,11458176400.0,9282247000.0,9258097500.0,7652229000.0,20478064800.0
00001.HK,长和,004025001,少数股东损益,6264660600.0,6079829980.0,6234131330.0,5713388800.0,6946896560.0,7118763660.0,6641596000.0,7106906820.0,7964717040.0,5286391800.0,582974930.0,559795760.0,301636200.0,165382800.0,274850390.0,371562560.0,275295720.0,204952680.0,218463000.0,76586400.0,2131400.0,-60482700.0,-23333200.0,-135756800.0
00001.HK,长和,004025002,股东应占溢利,15824171520.0,21296170000.0,32765143600.0,27376518400.0,24527914520.0,35678917400.0,34171800000.0,29340441000.0,29525986080.0,99335574600.0,42495638030.0,27722469800.0,25976390600.0,37336788500.0,22835557480.0,17273256640.0,25917125640.0,18159410250.0,14558998500.0,11381590000.0,9280115600.0,9318580200.0,7675562200.0,20613821600.0
00001.HK,长和,004027001,股息,,,,,,,,,,,,,,,,,4229628460.0,4049824770.0,3806457700.0,3498509300.0,3208822700.0,2998668600.0,2997255600.0,2997255600.0
00001.HK,长和,004027002,每股基本盈利,4.1301384,5.5641908,8.5485939,7.11312,6.3627984,9.2534074,8.858382,7.606781,7.6480605,30.9224598,18.3491162,11.9664206,11.2140555,16.116716,9.8622787,7.4576656,11.189741,7.836426,6.283412,4.914294,4.007032,4.021569,3.309072,8.930252
00001.HK,长和,004027004,每股股息,,,,,,,,,,,,,,,,,1.825941,1.7481258,1.643674,1.510454,1.38541,1.294542,1.293932,1.293932
00001.HK,长和,004030997,其他全面收益其他项目,-18406897080.0,7931237440.0,-14121705430.0,-3274488000.0,14575521520.0,1633006940.0,-13923694200.0,12480972210.0,-24925521150.0,-7102698840.0,-12223540650.0,-772864090.0,2755268300.0,-1867852800.0,2029468050.0,3747322880.0,,,,,,,,
00001.HK,长和,004030999,其他全面收益,-18406897080.0,7931237440.0,-14121705430.0,-3274488000.0,14575521520.0,1633006940.0,-13923694200.0,12480972210.0,-24925521150.0,-7102698840.0,-12223540650.0,-772864090.0,2755268300.0,-1867852800.0,2029468050.0,3747322880.0,,,,,,,,
00001.HK,长和,004039999,全面收益总额,3681935040.0,35307237420.0,24877569500.0,29815419200.0,46050332600.0,44430688000.0,26889701800.0,48928320030.0,12565181970.0,97519267560.0,30855072310.0,27509401470.0,29033295100.0,35634318500.0,25139875920.0,21392142080.0,,,,,,,,
00001.HK,长和,004040001,非控股权益应占全面收益总额,3847696200.0,6774900720.0,5157740980.0,5521252800.0,8069644320.0,6981709320.0,4859405200.0,9795193380.0,3101266170.0,3057059220.0,582186060.0,564513140.0,302447050.0,170247000.0,279955970.0,372443040.0,,,,,,,,
00001.HK,长和,004040002,本公司拥有人应占全面收益总额,-165761160.0,28532336700.0,19719828520.0,24294166400.0,37980688280.0,37448978680.0,22030296600.0,39133126650.0,9463915800.0,94462208340.0,30272886250.0,26944888330.0,28730848050.0,35464071500.0,24859919950.0,21019699040.0,,,,,,,,
00001.HK,长和,004099999,非运算项目,-112631467080.0,-109586465940.0,-103843530770.0,-98665515200.0,-94188774040.0,61004409560.0,,,,,73933685288.3491,31415392110.0,-7678749500.0,25121160900.0,22998936040.0,18418761120.0,11465036720.4682,21092504128.2,-2774480099.56307,-9888155199.5958,-5863481399.59503,-119904299.596782,754086600.0,-1970594799.59697
