指标名称,2024中报,2024三季报,2024一季报,2023年报,2023中报,2023三季报,2023一季报,2022年报,2022中报,2022三季报,2022一季报,2021年报,2021中报,2021三季报,2021一季报,2020年报,2020中报,2020三季报,2020一季报,2019年报,2019中报,2019三季报,2019一季报,2018年报,2018中报,2018三季报,2018一季报,2017年报,2017中报,2017三季报,2017一季报,2016年报,2016中报,2016三季报,2016一季报,2015年报,2015中报,2015三季报,2015一季报,2014年报,2014中报,2014三季报,2014一季报,2013年报,2013中报,2013三季报,2013一季报,2012年报,2012中报,2012三季报,2012一季报,2011年报,2011中报,2011三季报,2011一季报,2010年报,2010中报,2010三季报,2010一季报,2009年报,2009中报,2009三季报,2009一季报,2008年报,2008中报,2008三季报,2008一季报,2007年报,2007中报,2007三季报,2007一季报,2006年报,2006中报,2006三季报,2006一季报,2005年报,2005中报,2005三季报,2005一季报,2004年报,2004中报,2004三季报,2004一季报,2003年报,2003中报,2003三季报,2003一季报,2002年报,2002中报,2001年报,2001中报,2000年报
RECEIVE_OTHER_OPERATE,22.59,23.74,12.28,23.46,15.42,22.82,3.48,27.59,17.23,18.98,9.35,16.44,12.16,14.61,2.07,2.21,0.87,1.27,0.5,12.34,11.87,12.19,1.05,6.22,4.89,5.94,5.07,5.42,4.33,5.79,2.6,1.89,0.4,0.51,0.26,1.54,0.62,1.37,0.26,3.0,2.42,3.22,1.95,5.85,2.82,3.92,2.16,3.88,1.92,2.67,1.68,1.82,0.77,0.98,0.58,1.38,0.52,0.64,0.48,1.86,1.04,1.07,0.93,2.42,1.91,2.12,1.7,0.96,0.48,0.49,0.36,0.43,0.41,0.28,0.03,0.16,0.15,0.18,0.09,0.48,0.13,0.24,0.08,0.45,0.09,0.3,0.02,0.32,0.11,0.44,,0.03
OPERATE_INFLOW_OTHER,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPERATE_INFLOW_BALANCE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
TOTAL_OPERATE_INFLOW,1022.42,1346.38,445.46,1682.56,687.89,1125.1,319.54,1378.16,596.54,870.46,234.13,1316.21,621.8,904.37,240.42,1135.11,465.89,730.3,196.18,994.44,582.52,694.48,234.51,893.46,393.45,690.27,184.02,673.69,278.54,525.02,179.35,672.79,280.74,538.26,167.28,400.14,165.15,275.51,93.59,354.88,159.6,241.18,72.24,367.13,154.73,259.4,63.77,293.0,127.27,200.94,59.35,238.41,116.23,181.22,66.02,150.77,64.12,108.03,31.22,119.42,43.02,75.66,19.64,115.18,47.6,76.18,27.3,75.33,34.34,53.5,19.98,62.04,27.83,44.89,16.19,50.43,20.92,33.37,12.7,38.17,14.74,24.95,8.33,31.84,11.62,21.12,6.29,23.28,10.31,18.47,,13.31
BUY_SERVICES,49.6,81.49,15.16,110.29,60.74,78.32,29.1,83.58,45.33,65.61,26.56,77.46,42.77,63.68,22.32,72.31,33.83,55.63,15.45,55.22,27.91,40.91,17.66,52.99,22.77,36.76,13.41,48.76,21.46,33.86,13.4,27.73,13.04,16.9,8.74,29.68,16.4,23.03,10.21,28.38,14.56,20.53,9.31,31.52,12.5,19.71,7.13,27.07,10.78,15.87,4.95,23.54,10.31,14.82,6.56,16.7,6.82,10.66,3.52,15.57,5.68,9.22,2.96,12.15,5.3,7.94,2.82,10.98,5.67,7.77,3.12,8.07,3.87,5.16,2.42,9.51,3.75,3.93,1.43,8.64,3.46,5.73,2.58,6.39,3.13,4.13,0.89,6.24,3.83,5.95,,2.95
LOAN_ADVANCE_ADD,7.05,4.64,4.87,-20.52,-21.62,-18.47,1.15,7.24,0.61,0.27,0.64,4.84,-5.06,4.94,-0.08,29.79,29.93,29.6,0.03,0.13,-0.07,0.03,-0.0,0.03,0.1,0.1,-0.08,-0.28,1.68,-0.32,1.87,0.42,-1.56,1.54,1.2,-0.12,,-0.1,,-0.6,-0.91,-0.81,-0.75,0.91,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PBC_INTERBANK_ADD,71.97,51.55,34.86,15.7,-102.95,-112.36,-20.93,130.38,112.48,104.53,28.06,5.59,29.93,-0.35,24.46,-25.06,-27.23,-36.55,-26.53,-45.03,-0.35,-49.33,-9.61,9.21,-73.79,21.49,-48.71,87.27,5.47,8.28,-1.18,23.4,9.44,15.94,9.76,-8.48,-10.71,-12.54,-4.74,-5.02,-2.75,-10.94,0.9,31.93,1.7,18.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAY_ORIGIC_COMPENSATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAY_INTEREST_COMMISSION,0.27,0.66,0.19,1.43,0.44,0.64,0.12,0.79,0.51,0.66,0.18,1.63,0.2,0.43,0.12,1.07,0.3,0.37,0.24,1.75,0.62,1.42,0.43,1.17,0.42,0.86,0.34,1.46,0.64,1.18,0.28,1.16,0.37,0.81,0.32,0.62,0.09,0.52,0.07,0.72,0.23,0.64,0.18,0.08,0.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAY_POLICY_BONUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
