,SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,SALES_SERVICES,DEPOSIT_INTERBANK_ADD,LOAN_PBC_ADD,OFI_BF_ADD,RECEIVE_ORIGIC_PREMIUM,RECEIVE_REINSURE_NET,INSURED_INVEST_ADD,DISPOSAL_TFA_ADD,RECEIVE_INTEREST_COMMISSION,BORROW_FUND_ADD,LOAN_ADVANCE_REDUCE,REPO_BUSINESS_ADD,RECEIVE_TAX_REFUND,RECEIVE_OTHER_OPERATE,OPERATE_INFLOW_OTHER,OPERATE_INFLOW_BALANCE,TOTAL_OPERATE_INFLOW,BUY_SERVICES,LOAN_ADVANCE_ADD,PBC_INTERBANK_ADD,PAY_ORIGIC_COMPENSATE,PAY_INTEREST_COMMISSION,PAY_POLICY_BONUS,PAY_STAFF_CASH,PAY_ALL_TAX,PAY_OTHER_OPERATE,OPERATE_OUTFLOW_OTHER,OPERATE_OUTFLOW_BALANCE,TOTAL_OPERATE_OUTFLOW,OPERATE_NETCASH_OTHER,OPERATE_NETCASH_BALANCE,NETCASH_OPERATE,WITHDRAW_INVEST,RECEIVE_INVEST_INCOME,DISPOSAL_LONG_ASSET,DISPOSAL_SUBSIDIARY_OTHER,REDUCE_PLEDGE_TIMEDEPOSITS,RECEIVE_OTHER_INVEST,INVEST_INFLOW_OTHER,INVEST_INFLOW_BALANCE,TOTAL_INVEST_INFLOW,CONSTRUCT_LONG_ASSET,INVEST_PAY_CASH,PLEDGE_LOAN_ADD,OBTAIN_SUBSIDIARY_OTHER,ADD_PLEDGE_TIMEDEPOSITS,PAY_OTHER_INVEST,INVEST_OUTFLOW_OTHER,INVEST_OUTFLOW_BALANCE,TOTAL_INVEST_OUTFLOW,INVEST_NETCASH_OTHER,INVEST_NETCASH_BALANCE,NETCASH_INVEST,ACCEPT_INVEST_CASH,SUBSIDIARY_ACCEPT_INVEST,RECEIVE_LOAN_CASH,ISSUE_BOND,RECEIVE_OTHER_FINANCE,FINANCE_INFLOW_OTHER,FINANCE_INFLOW_BALANCE,TOTAL_FINANCE_INFLOW,PAY_DEBT_CASH,ASSIGN_DIVIDEND_PORFIT,SUBSIDIARY_PAY_DIVIDEND,BUY_SUBSIDIARY_EQUITY,PAY_OTHER_FINANCE,SUBSIDIARY_REDUCE_CASH,FINANCE_OUTFLOW_OTHER,FINANCE_OUTFLOW_BALANCE,TOTAL_FINANCE_OUTFLOW,FINANCE_NETCASH_OTHER,FINANCE_NETCASH_BALANCE,NETCASH_FINANCE,RATE_CHANGE_EFFECT,CCE_ADD_OTHER,CCE_ADD_BALANCE,CCE_ADD,BEGIN_CCE,END_CCE_OTHER,END_CCE_BALANCE,END_CCE,NETPROFIT,ASSET_IMPAIRMENT,FA_IR_DEPR,OILGAS_BIOLOGY_DEPR,IR_DEPR,IA_AMORTIZE,LPE_AMORTIZE,DEFER_INCOME_AMORTIZE,PREPAID_EXPENSE_REDUCE,ACCRUED_EXPENSE_ADD,DISPOSAL_LONGASSET_LOSS,FA_SCRAP_LOSS,FAIRVALUE_CHANGE_LOSS,FINANCE_EXPENSE,INVEST_LOSS,DEFER_TAX,DT_ASSET_REDUCE,DT_LIAB_ADD,PREDICT_LIAB_ADD,INVENTORY_REDUCE,OPERATE_RECE_REDUCE,OPERATE_PAYABLE_ADD,OTHER,OPERATE_NETCASH_OTHERNOTE,OPERATE_NETCASH_BALANCENOTE,NETCASH_OPERATENOTE,DEBT_TRANSFER_CAPITAL,CONVERT_BOND_1YEAR,FINLEASE_OBTAIN_FA,UNINVOLVE_INVESTFIN_OTHER,END_CASH,BEGIN_CASH,END_CASH_EQUIVALENTS,BEGIN_CASH_EQUIVALENTS,CCE_ADD_OTHERNOTE,CCE_ADD_BALANCENOTE,CCE_ADDNOTE,SALES_SERVICES_YOY,DEPOSIT_INTERBANK_ADD_YOY,LOAN_PBC_ADD_YOY,OFI_BF_ADD_YOY,RECEIVE_ORIGIC_PREMIUM_YOY,RECEIVE_REINSURE_NET_YOY,INSURED_INVEST_ADD_YOY,DISPOSAL_TFA_ADD_YOY,RECEIVE_INTEREST_COMMISSION_YOY,BORROW_FUND_ADD_YOY,LOAN_ADVANCE_REDUCE_YOY,REPO_BUSINESS_ADD_YOY,RECEIVE_TAX_REFUND_YOY,RECEIVE_OTHER_OPERATE_YOY,OPERATE_INFLOW_OTHER_YOY,OPERATE_INFLOW_BALANCE_YOY,TOTAL_OPERATE_INFLOW_YOY,BUY_SERVICES_YOY,LOAN_ADVANCE_ADD_YOY,PBC_INTERBANK_ADD_YOY,PAY_ORIGIC_COMPENSATE_YOY,PAY_INTEREST_COMMISSION_YOY,PAY_POLICY_BONUS_YOY,PAY_STAFF_CASH_YOY,PAY_ALL_TAX_YOY,PAY_OTHER_OPERATE_YOY,OPERATE_OUTFLOW_OTHER_YOY,OPERATE_OUTFLOW_BALANCE_YOY,TOTAL_OPERATE_OUTFLOW_YOY,OPERATE_NETCASH_OTHER_YOY,OPERATE_NETCASH_BALANCE_YOY,NETCASH_OPERATE_YOY,WITHDRAW_INVEST_YOY,RECEIVE_INVEST_INCOME_YOY,DISPOSAL_LONG_ASSET_YOY,DISPOSAL_SUBSIDIARY_OTHER_YOY,REDUCE_PLEDGE_TIMEDEPOSITS_YOY,RECEIVE_OTHER_INVEST_YOY,INVEST_INFLOW_OTHER_YOY,INVEST_INFLOW_BALANCE_YOY,TOTAL_INVEST_INFLOW_YOY,CONSTRUCT_LONG_ASSET_YOY,INVEST_PAY_CASH_YOY,PLEDGE_LOAN_ADD_YOY,OBTAIN_SUBSIDIARY_OTHER_YOY,ADD_PLEDGE_TIMEDEPOSITS_YOY,PAY_OTHER_INVEST_YOY,INVEST_OUTFLOW_OTHER_YOY,INVEST_OUTFLOW_BALANCE_YOY,TOTAL_INVEST_OUTFLOW_YOY,INVEST_NETCASH_OTHER_YOY,INVEST_NETCASH_BALANCE_YOY,NETCASH_INVEST_YOY,ACCEPT_INVEST_CASH_YOY,SUBSIDIARY_ACCEPT_INVEST_YOY,RECEIVE_LOAN_CASH_YOY,ISSUE_BOND_YOY,RECEIVE_OTHER_FINANCE_YOY,FINANCE_INFLOW_OTHER_YOY,FINANCE_INFLOW_BALANCE_YOY,TOTAL_FINANCE_INFLOW_YOY,PAY_DEBT_CASH_YOY,ASSIGN_DIVIDEND_PORFIT_YOY,SUBSIDIARY_PAY_DIVIDEND_YOY,BUY_SUBSIDIARY_EQUITY_YOY,PAY_OTHER_FINANCE_YOY,SUBSIDIARY_REDUCE_CASH_YOY,FINANCE_OUTFLOW_OTHER_YOY,FINANCE_OUTFLOW_BALANCE_YOY,TOTAL_FINANCE_OUTFLOW_YOY,FINANCE_NETCASH_OTHER_YOY,FINANCE_NETCASH_BALANCE_YOY,NETCASH_FINANCE_YOY,RATE_CHANGE_EFFECT_YOY,CCE_ADD_OTHER_YOY,CCE_ADD_BALANCE_YOY,CCE_ADD_YOY,BEGIN_CCE_YOY,END_CCE_OTHER_YOY,END_CCE_BALANCE_YOY,END_CCE_YOY,NETPROFIT_YOY,ASSET_IMPAIRMENT_YOY,FA_IR_DEPR_YOY,OILGAS_BIOLOGY_DEPR_YOY,IR_DEPR_YOY,IA_AMORTIZE_YOY,LPE_AMORTIZE_YOY,DEFER_INCOME_AMORTIZE_YOY,PREPAID_EXPENSE_REDUCE_YOY,ACCRUED_EXPENSE_ADD_YOY,DISPOSAL_LONGASSET_LOSS_YOY,FA_SCRAP_LOSS_YOY,FAIRVALUE_CHANGE_LOSS_YOY,FINANCE_EXPENSE_YOY,INVEST_LOSS_YOY,DEFER_TAX_YOY,DT_ASSET_REDUCE_YOY,DT_LIAB_ADD_YOY,PREDICT_LIAB_ADD_YOY,INVENTORY_REDUCE_YOY,OPERATE_RECE_REDUCE_YOY,OPERATE_PAYABLE_ADD_YOY,OTHER_YOY,OPERATE_NETCASH_OTHERNOTE_YOY,OPERATE_NETCASH_BALANCENOTE_YOY,NETCASH_OPERATENOTE_YOY,DEBT_TRANSFER_CAPITAL_YOY,CONVERT_BOND_1YEAR_YOY,FINLEASE_OBTAIN_FA_YOY,UNINVOLVE_INVESTFIN_OTHER_YOY,END_CASH_YOY,BEGIN_CASH_YOY,END_CASH_EQUIVALENTS_YOY,BEGIN_CASH_EQUIVALENTS_YOY,CCE_ADD_OTHERNOTE_YOY,CCE_ADD_BALANCENOTE_YOY,CCE_ADDNOTE_YOY,OPINION_TYPE,OSOPINION_TYPE,MINORITY_INTEREST,MINORITY_INTEREST_YOY
10,600519.SH,600519,贵州茅台,10002602,通用,2022-03-31 00:00:00,一季报,2022一季报,058001001,2022-04-27 00:00:00,2023-04-26 00:00:00,CNY,31487970469.66,-9864709556.77,,,,,,,854389920.09,,,,,935490531.39,,0.0,23413141364.37,2655967618.94,64000000.0,2806127192.46,,18295874.34,,5432173619.58,18504128971.88,808507180.96,,0.0,30289200458.16,,0.0,-6876059093.79,,,138168.0,,,2573293.48,,0.0,2711461.48,1223212096.34,,,,,19625578.49,,0.0,1242837674.83,,0.0,-1240126213.35,,,,,,,,,,,,,3846050.69,,,0.0,3846050.69,,0.0,-3846050.69,-396978.09,,0.0,-8120428335.92,178640587379.52,,0.0,170520159043.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.1957282017,-1173.4467111083,,,,,,,38.9111014542,,,,,351.4888938269,,,-2.6163794066,19.0048040569,865.9416390768,14.7439368023,,58.2690443825,,27.2116650394,18.9300796415,-20.5381076387,,,18.655223364,,,-363.0676923044,,,,,,3581.3926752504,,,3779.0579113019,-13.301344115,,,,,53.5131746286,,,-12.7013586442,,,12.8875383466,,,,,,,,,,,,,-90.7452317775,,,,-90.7452317775,,,90.7452317775,41.9820479334,,,-175.2009550369,21.7390952773,,,18.5898869986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,600519.SH,600519,贵州茅台,10002602,通用,2021-12-31 00:00:00,年报,2021年报,058001001,2022-03-31 00:00:00,2023-03-31 00:00:00,CNY,119320536796.65,7511166145.93,,,,,,,3145747032.91,,,,,1643536862.48,,0.0,131620986837.97,7745959630.9,484244272.0,559089326.28,,163462728.48,,10061366201.66,44609684025.28,4368504506.0,-400000000.0,0.0,67592310690.6,,0.0,64028676147.37,6079930.68,860000.0,2463474.29,,,9983452.63,,0.0,19386857.6,3408784532.01,2150000000.0,,,,23048029.93,,0.0,5581832561.94,,0.0,-5562445704.34,,,,,,,,,,26476019839.37,2240195683.97,,88121549.59,,,0.0,26564141388.96,,0.0,-26564141388.96,-2026542.6,,0.0,31900062511.47,146740524868.05,,0.0,178640587379.52,55720529956.46,,1344833911.39,1344833911.39,,124084418.97,10687874.77,,,,,11920829.77,2244726.29,13529867.76,-58255937.39,-1115438870.7,-1113981357.47,-1457513.23,,-4525277406.77,504305749.89,11880880539.56,,,0.0,64028676147.37,,,,,178640587379.52,146740524868.05,,,,,31900062511.47,11.4891127728,135.5261884288,,,,,,,2.269274674,,,,,642.2670750652,,,15.9545411292,7.126797419,-83.7434044206,122.3064090185,,52.4244994578,,23.2736643009,7.1763177766,7.9435690487,-300.0,,9.2987746548,,,23.9207087857,-98.0692903242,,396.7635000948,,,49.5576853351,,,-93.9806901038,63.1177282471,10650.0,,,,31.4371323548,,,162.3898698821,,,-208.1299595297,,,,,,,,,,9.8999092756,-17.1605585703,,141.3815673996,,,,10.0988529827,,,-10.0988529827,-632.4048989574,,,23.9478284743,21.2693129024,,,21.7390952773,12.5136982686,,12.4483998121,12.4483998121,,12.4471518975,1.1839935506,,,,,11807.2650136964,145.829498626,,-18960.8445184275,-1080.1934089678,-4685.5258834955,97.9539391676,,-26.2574419306,200.0590018866,140.2463572597,,,,23.9207087857,,,,,21.7390952773,21.2693129024,,,,,23.9478284743,标准无保留意见,,,
12,600519.SH,600519,贵州茅台,10002602,通用,2021-09-30 00:00:00,三季报,2021三季报,058001001,2021-10-23 00:00:00,2022-10-17 00:00:00,CNY,79430259956.96,7493137305.43,,,,,,,2052674613.04,,,,,1461387725.5,,0.0,90437459600.93,6367801390.0,494244272.0,-34826625.24,,43161179.12,,7999992313.32,36555898072.85,2488891642.96,-230000000.0,0.0,53685162245.01,,0.0,36752297355.92,,,6922.33,,,6034334.5,,0.0,6041256.83,2251436707.95,2000000000.0,,,,20706785.3,,0.0,4272143493.25,,0.0,-4266102236.42,,,,,,,,,,26476019839.37,2240195683.97,,52271925.65,,,0.0,26528291765.02,,0.0,-26528291765.02,-1166509.4,,0.0,5956736845.08,146740524868.05,,0.0,152697261713.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3270987889,1227.8845600221,,,,,,,-7.4992510378,,,,,1051.8596125604,,,23.8357870248,14.4769938198,-83.3025583784,99.0470306579,,16.506436969,,21.1275741408,10.0465095271,-16.7854058668,-215.0,,12.0328025147,,,46.3593374561,,,,,,,,,-98.0815713814,39.3946516609,,,,,51.8419689485,,,162.2894102554,,,-224.6941257657,,,,,,,,,,10.8789716146,-10.0878439048,,,,,,11.0978813071,,,-11.0978813071,-493.5440803097,,,7464.0047684756,21.2693129024,,,26.276494334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,600519.SH,600519,贵州茅台,10002602,通用,2021-06-30 00:00:00,中报,2021中报,058001001,2021-07-31 00:00:00,2022-08-03 00:00:00,CNY,50269929498.37,9338597107.3,,,,,,,1355120765.98,,,,,1216365944.39,,0.0,62180013316.04,4277226909.58,-505755728.0,2992718295.4,,20404938.78,,6185449794.6,26175077148.63,1385421224.08,-70000000.0,0.0,40460542583.07,,0.0,21719470732.97,,,,,,69900.0,,0.0,69900.0,1853649494.08,2000000000.0,,,,18012885.3,,0.0,3871662379.38,,0.0,-3871592479.38,,,,,,,,,,26360148944.49,2124324789.09,,47975713.76,,,0.0,26408124658.25,,0.0,-26408124658.25,-732238.31,,0.0,-8560978642.97,146740524868.05,,0.0,138179546225.08,26206683856.15,,644631614.32,644631614.32,,60342317.3,5256138.38,,,,,32406.61,2244726.29,12835235.42,-27841333.33,-112442970.14,-111881788.57,-561181.57,,-1786123404.47,-2448636642.11,-866022994.23,,,0.0,21719470732.97,,,,,138179546225.08,146740524868.05,,,,,-8560978642.97,8.232522862,764.3231436526,,,,,,,-7.2637060224,,,,,1300.4971872551,,,33.4661077094,26.4296619914,-116.9007762072,209.8856888623,,-32.405969717,,19.6631230744,12.6977407025,-18.0416673367,-135.0,,19.1149188299,,,72.0904337943,,,,,,,,,,92.2340668944,,,,,105.2216490009,,,297.8917311389,,,-297.884547498,,,,,,,,,,11.0639149112,-9.5049251874,,,,,,11.2660522589,,,-11.2660522589,-377.407475979,,,29.1663433354,21.2693129024,,,26.8658906063,9.5251612286,,8.820645768,8.820645768,,10.9135489201,-2.0636939425,,,,,206.5800029516,130.6777387238,,,-277.1380917688,-281.4839848878,-130.6777385452,,-76.8913978764,-2249.2101275379,92.1108639309,,,,72.0904337943,,,,,26.8658906063,21.2693129024,,,,,29.1663433354,,,,
14,600519.SH,600519,贵州茅台,10002602,通用,2021-03-31 00:00:00,一季报,2021一季报,058001001,2021-04-28 00:00:00,2022-04-27 00:00:00,CNY,22300937054.32,918975246.25,,,,,,,615062375.25,,,,,207201227.8,,0.0,24042175903.62,2231815463.24,-8355728.0,2445555966.32,,11559982.82,,4270185142.14,15558830051.79,1017477883.97,,0.0,25527068762.28,,0.0,-1484892858.66,,,,,,69900.0,,0.0,69900.0,1410877808.72,,,,,12784295.9,,0.0,1423662104.62,,0.0,-1423592204.62,,,,,,,,,,,,,41557504.17,,,0.0,41557504.17,,0.0,-41557504.17,-684233.2,,0.0,-2950726800.65,146740524868.05,,0.0,143789798067.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9890741327,130.4972383848,,,,,,,-13.9960034368,,,,,312.7945370808,,,22.5513037389,44.4929480563,-398.4188571429,192.1734211697,,-51.7755397237,,16.5732114794,15.9898430736,-9.1330371616,,,47.4279900892,,,-164.4733969962,,,,,,,,,,240.4115330054,,,,,121.837276476,,,238.7854208829,,,-238.7687869493,,,,,,,,,,,,,,,,,-90.7902624069,,,90.7902624069,-58277.1894649728,,,-306.1069320682,21.2693129024,,,17.4412748294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,600519.SH,600519,贵州茅台,10002602,通用,2020-12-31 00:00:00,年报,2020年报,058001001,2021-03-31 00:00:00,2022-03-31 00:00:00,CNY,107024384560.17,3189100199.87,,,,,,,3075945383.34,,,,,221421226.63,,0.0,113510851370.01,7230646129.19,2978755728.0,-2506406682.56,,107241768.26,,8161813197.26,41622706350.37,4047026186.46,200000000.0,0.0,61841782676.98,,0.0,51669068693.03,314906521.48,,495904.85,,,6675319.03,,0.0,322077745.36,2089769498.78,20000000.0,,,,17535402.3,,0.0,2127304901.08,,0.0,-1805227155.72,,,,,,,,,,24091029750.51,2704262179.11,,36507157.75,,,0.0,24127536908.26,,0.0,-24127536908.26,380639.36,,0.0,25736685268.41,121003839599.64,,0.0,146740524868.05,49523329882.4,,1195956468.6,1195956468.6,,110349099.0,10562811.76,,,,,100113.92,-4897994.43,,-305631.46,-94513226.58,-23278138.8,-71235087.78,,-3584166871.73,-504008375.44,4945290607.14,,,0.0,51669068693.03,,,,,146740524868.05,121003839599.64,,,,,25736685268.41,12.6808047472,829.0749932142,,,,,,,-16.1327053932,,,,,-82.0578169735,,,14.1449985724,30.9437385862,22813.5056,44.3414206065,,-38.8670858946,,6.4140658435,4.4711172482,-23.862491474,0.0,,14.0280686867,,,14.285265526,,,1202.2711397059,,,-8.8204502172,,,4276.5615302549,-33.634191256,,,,,-27.4804224203,,,-32.9569869832,,,42.9751623461,,,,,,,,,,19.7521864777,45.8969205029,,,,,,19.9336570087,,,-25.1142548822,1297.3539657291,,,13.0758430632,23.1675381536,,,21.2693129024,12.629813486,,4.0066288582,4.0066288582,,32.5321972073,2.2389955023,,,,,-79.0728268674,-134.939573081,,,-73.7525453978,54.2585483878,-1932.6062738042,,-101.5875939459,-114.7161706656,406.1711343364,,,,14.285265526,,,,,21.2693129024,23.1675381536,,,,,13.0758430632,标准无保留意见,,,
16,600519.SH,600519,贵州茅台,10002602,通用,2020-09-30 00:00:00,三季报,2020三季报,058001001,2020-10-26 00:00:00,2021-10-23 00:00:00,CNY,71348540311.47,-664353212.29,,,,,,,2219089722.05,,,,,126872034.54,,0.0,73030148855.77,5562516255.47,2960000000.0,-3654537843.09,,37046175.51,,6604600455.4,33218589330.94,2990931661.55,200000000.0,0.0,47919146035.78,,0.0,25111002819.99,314906521.48,,,,,,,0.0,314906521.48,1615152863.56,,,,,13637063.22,,0.0,1628789926.78,,0.0,-1313883405.3,,,,,,,,,,23878305736.27,2491538164.87,,,,,0.0,23878305736.27,,0.0,-23878305736.27,296411.37,,0.0,-80889910.21,121003839599.64,,0.0,120922949689.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8289836105,14.4959035017,,,,,,,-21.7970252298,,,,,-89.5916524963,,,5.1583280657,35.9859555641,98566.6666666667,25.9144139868,,-73.9850761051,,10.0607598142,2.0802158212,-30.2297430301,,,13.7346661589,,,-8.0701691489,,,,,,,,,4201.3726719525,-20.3589000012,,,,,-30.2518981299,,,-20.4533654785,,,35.6024795377,,,,,,,,,,18.6726792959,38.6851382928,,,,,,18.6726792959,,,-23.7978131636,655.8485817029,,,-101.3511082881,23.1675381536,,,16.0152510697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,600519.SH,600519,贵州茅台,10002602,通用,2020-06-30 00:00:00,中报,2020中报,058001001,2020-07-29 00:00:00,2021-07-31 00:00:00,CNY,46446232767.28,-1405731110.91,,,,,,,1461262584.32,,,,,86852437.51,,0.0,46588616678.2,3383088147.36,2992500000.0,-2723483218.23,,30187486.52,,5169052616.78,23225911172.2,1690397033.54,200000000.0,0.0,33967653238.17,,0.0,12620963440.03,,,,,,,,,,964266908.58,,,,,8777283.19,,0.0,973044191.77,,0.0,-973044191.77,,,,,,,,,,23734215533.06,2347447961.66,,,,,0.0,23734215533.06,,0.0,-23734215533.06,263957.67,,0.0,-12086032327.13,121003839599.64,,0.0,108917807272.51,23927546476.23,,592379883.22,592379883.22,,54404820.59,5366894.66,,,,,10570.36,-7317117.83,,,63477577.87,61648298.41,1829279.46,,-1009728808.7,-104232338.07,-10977412312.83,,,0.0,12620963440.03,,,,,108917807272.51,121003839599.64,,,,,-12086032327.13,7.1941245756,-111.6242308111,,,,,,,-11.0292970069,,,,,-92.6833884945,,,-20.0218243792,21.2034723667,43157.5539568345,-7635.3837245337,,-51.0329290978,,12.9260686021,-4.8113066288,-28.8782026769,,,-0.5768777429,,,-47.6024192246,,,,,,,,,,-14.2715326575,,,,,-43.9845474352,,,-14.6797753373,,,14.373616746,,,,,,,,,,19.4761687967,30.6647234179,,,,,,19.4761687967,,,-24.7053852078,976.7735339341,,,-408.4527614241,23.1675381536,,,6.6132917947,12.8842751232,,2.6827101673,2.6827101673,,35.0622757574,3.8939122408,,,,,-90.0796975772,-23.8090406335,,,1255.7937355741,984.5287537329,23.8090410122,,-99.1380192522,63.0877024441,-459.0826763523,,,,-47.6024192246,,,,,6.6132917947,23.1675381536,,,,,-408.4527614241,,,,
18,600519.SH,600519,贵州茅台,10002602,通用,2020-03-31 00:00:00,一季报,2020一季报,058001001,2020-04-28 00:00:00,2021-04-28 00:00:00,CNY,21866005985.4,-3013306433.37,,,,,,,715155573.96,,,,,50194760.15,,0.0,19618049886.14,1544584350.49,2800000.0,-2653211669.14,,23971202.07,,3663092993.62,13413959049.77,1119744571.83,200000000.0,0.0,17314940498.64,,0.0,2303109387.5,,,,,,,,,,414462399.75,,,,,5762916.0,,0.0,420225315.75,,0.0,-420225315.75,,,,,,,,,,451234400.0,451234400.0,,,,,0.0,451234400.0,,0.0,-451234400.0,-1172.09,,0.0,1431648499.66,121003839599.64,,0.0,122435488099.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.9202476952,-1346.2115321683,,,,,,,-10.1431445901,,,,,-52.3393464701,,,-16.3445939598,-12.5619096518,5700.0,-176.0695626157,,-43.9706082344,,13.3534266006,-22.3579626484,23.6712908646,,,-22.221342502,,,93.667159181,,,,,,,,,,-31.9976397668,,,,,-38.9222962844,,,-32.1032059647,,,32.0357845204,,,,,,,,,,,,,,,,,,,,,99.4520214787,,,150.8616691749,23.1675381536,,,23.9050256078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,600519.SH,600519,贵州茅台,10002602,通用,2019-12-31 00:00:00,年报,2019年报,058001001,2020-04-22 00:00:00,2021-03-31 00:00:00,CNY,94980138631.64,-437417306.8,,,,,,,3667633965.97,,,,,1234081863.41,,0.0,99444437154.22,5521948744.75,13000000.0,-4503181198.43,,175423942.78,,7669863126.24,39841352755.42,5315417150.9,200000000.0,0.0,54233824521.66,,0.0,45210612632.56,,,38080.0,,,7321070.4,,0.0,7359150.4,3148864661.38,,,,,24180232.27,,0.0,3173044893.65,,0.0,-3165685743.25,833000000.0,833000000.0,,,,,0.0,833000000.0,,20117402829.22,1853543015.02,,,,,0.0,20117402829.22,,0.0,-19284402829.22,27240.01,,0.0,22760551300.1,98243288299.54,,0.0,121003839599.64,43970000792.51,5313489.8,1149884850.35,1149884850.35,,83262106.36,10331490.16,,,,32123.57,478391.99,14018472.46,,,-54395304.75,-50890686.63,-3504618.12,,-1777969964.11,3424860902.28,-1615204718.06,,,0.0,45210612632.56,,,,,121003839599.64,98243288299.54,,,,,22760551300.1,12.7110581289,-143.2915791592,,,,,,,6.4630446256,,,,,98.5464159714,,,11.3030722883,4.2168529167,333.3333333333,-589.0966581397,,49.8244707244,,15.2818930448,24.3791558563,81.0571974254,,,13.0804234325,,,9.2433407245,,,,,,-34.890142691,,,-34.551478639,95.9772346614,,,,,-27.7266990383,,,93.4539429754,,,-94.3375213188,,,,,,,,,,22.360494119,-29.366599417,,,,,,22.360494119,,,-17.2939210397,-6.091145336,,,-2.3789462208,31.1167820067,,,23.1675381536,16.2316814174,311.9990353303,6.0131246379,6.0131246379,,3.519060636,0.0037705566,,,,,-73.5538830109,,,,-115.4311809216,-114.4369701801,,,-22.6634990326,551.5291693634,-154.7825179518,,,,9.2433407245,,,,,23.1675381536,31.1167820067,,,,,-2.3789462208,标准无保留意见,,,
20,600519.SH,600519,贵州茅台,10002602,通用,2019-09-30 00:00:00,三季报,2019三季报,058001001,2019-10-16 00:00:00,2020-10-26 00:00:00,CNY,66168239672.16,-776984073.86,,,,,,,2837602698.07,,,,,1218945029.41,,0.0,69447803325.78,4090507900.17,3000000.0,-4932859466.67,,142403551.36,,6000867581.28,32541652722.52,4286829075.09,,0.0,42132401363.75,,0.0,27315401962.03,,,,,,7321070.4,,0.0,7321070.4,2028039371.11,,,,,19551877.19,,0.0,2047591248.3,,0.0,-2040270177.9,833000000.0,833000000.0,,,,,0.0,833000000.0,,20121148252.44,1796543015.02,,,,,0.0,20121148252.44,,0.0,-19288148252.44,-53325.92,,0.0,5986930205.77,98243288299.54,,0.0,104230218505.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.836877347,-109.4410106635,,,,,,,9.8448562909,,,,,105.1736425305,,,0.6102057216,11.2652795459,-70.0,-329.5265259607,,65.0232649183,,17.2916498978,17.9946970037,95.8875018762,,,3.2522436611,,,-3.2099315255,,,,,,-12.9535324362,,,-12.9535324362,99.5163217989,,,,,29.8574128225,,,98.4995706082,,,-99.4157645212,,,,,,,,,,22.425719035,-31.389682529,,,,,,22.425719035,,,-17.3573888047,-173.350596045,,,-44.3740751208,31.1167820067,,,21.6350759182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
